============================================================
v2_20k 評估與校正 Pipeline - 步驟一: 重度運算與校正推論
============================================================

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
執行校正模式: BASELINE
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

----------------------------------------
處理目標任務: Y1
----------------------------------------
      [BASELINE | TEST2 | Layer 5 | Y2 | RF] Brier=0.1353 | Rel=0.0009 | Res=0.0430 | Unc=0.1774 | ECE=0.0151 | LogLoss=0.4309
      [BASELINE | TEST1 | Layer 6 | Y2 | SGD] Brier=0.1225 | Rel=0.0000 | Res=0.0546 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3811
      [BASELINE | TEST2 | Layer 6 | Y2 | SGD] Brier=0.1167 | Rel=0.0010 | Res=0.0616 | Unc=0.1774 | ECE=0.0205 | LogLoss=0.4130
      [BASELINE | TEST1 | Layer 6 | Y2 | MLP] Brier=0.1049 | Rel=0.0000 | Res=0.0722 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3259
      [BASELINE | TEST2 | Layer 6 | Y2 | MLP] Brier=0.1028 | Rel=0.0027 | Res=0.0773 | Unc=0.1774 | ECE=0.0293 | LogLoss=0.3526
      [BASELINE | TEST1 | Layer 6 | Y2 | LGB] Brier=0.1242 | Rel=0.0000 | Res=0.0529 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3811
      [BASELINE | TEST2 | Layer 6 | Y2 | LGB] Brier=0.1219 | Rel=0.0014 | Res=0.0568 | Unc=0.1774 | ECE=0.0229 | LogLoss=0.4221
      [BASELINE | TEST1 | Layer 6 | Y2 | LR] Brier=0.1226 | Rel=0.0000 | Res=0.0545 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3815
      [BASELINE | TEST2 | Layer 6 | Y2 | LR] Brier=0.1169 | Rel=0.0008 | Res=0.0613 | Unc=0.1774 | ECE=0.0179 | LogLoss=0.4139
      [BASELINE | TEST1 | Layer 6 | Y2 | RF] Brier=0.1277 | Rel=0.0000 | Res=0.0494 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3960
      [BASELINE | TEST2 | Layer 6 | Y2 | RF] Brier=0.1283 | Rel=0.0012 | Res=0.0503 | Unc=0.1774 | ECE=0.0227 | LogLoss=0.4135

----------------------------------------
處理目標任務: Y3
----------------------------------------
      [BASELINE | TEST1 | Layer 1 | Y3 | SGD] Brier=0.1750 | Rel=0.0000 | Res=0.0021 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5328
      [BASELINE | TEST2 | Layer 1 | Y3 | SGD] Brier=0.1783 | Rel=0.0013 | Res=0.0003 | Unc=0.1774 | ECE=0.0179 | LogLoss=0.5593
      [BASELINE | TEST1 | Layer 1 | Y3 | MLP] Brier=0.1749 | Rel=0.0000 | Res=0.0022 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5331
      [BASELINE | TEST2 | Layer 1 | Y3 | MLP] Brier=0.1781 | Rel=0.0015 | Res=0.0008 | Unc=0.1774 | ECE=0.0196 | LogLoss=0.5410
      [BASELINE | TEST1 | Layer 1 | Y3 | LGB] Brier=0.1737 | Rel=0.0000 | Res=0.0034 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5275
      [BASELINE | TEST2 | Layer 1 | Y3 | LGB] Brier=0.1766 | Rel=0.0008 | Res=0.0015 | Unc=0.1774 | ECE=0.0094 | LogLoss=0.5527
      [BASELINE | TEST1 | Layer 1 | Y3 | LR] Brier=0.1744 | Rel=0.0000 | Res=0.0027 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5314
      [BASELINE | TEST2 | Layer 1 | Y3 | LR] Brier=0.1780 | Rel=0.0014 | Res=0.0008 | Unc=0.1774 | ECE=0.0101 | LogLoss=0.5895
      [BASELINE | TEST1 | Layer 1 | Y3 | RF] Brier=0.1731 | Rel=0.0000 | Res=0.0040 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5260
